CLINIC_ID,CLINIC_NAME,DESCRIPTION,CONSULTATION_FEE_ID,IS_PRIMARY_CLINIC,DEPARTMENT_ID,IS_CONSULTATION_FREE,CLINIC_DAYS,APPOINTMENT_COUNTER,HOSPITAL_ID,BRANCH_ID,CLINIC_CATEGORY,CARD_FEE_ID,CLINIC_CODE,DISCONTINUE_FLAG,IS_DISCONTINUED,CASE_FILE_DURATION_INPATIENT,CASE_FILE_DURATION_OUTPATIENT,CONSULTATION_FEE_DURATION,,
473,PSYCHOLOGY CLINIC,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
474,SOCIAL WELFARE ,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
475,SLEEP CLINIC,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
476,SPEECH THERAPY CLINIC,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
1,GOPC-general,,1445,,12,1,Every Day of the Week,150,1,1,GOPC,5820,GOPC,,1,,,1,,
477,PHYSIOTHERAPY CLINIC,,,,12,1,,,1,1,GOPC,5820,,,,,,,,
478,GENERAL MEDICAL PRACTICE/NHIS CLINIC,MONDAY-FRIDAY 8AM-4PM NEW/OLD PATIENTS,,,12,1,,,1,1,GOPC,5820,,,,7,3,3,,
479,ASSESSMENT/EMERGENCY,,,,12,1,,,1,1,A & E Clinic,5820,,,,,,,,
480,PSYCHOGERIATRIC CLINIC,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
491,OCCUPATIONAL THERAPY,,,,12,1,,,1,2,MOPC,5820,,,,,,,,
511,FORENSIC PSYCHIATRIC CLINIC,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
512,COMMUNITY PSYCHIATRIC CLINIC,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
531,ADDICTION PSYCHIATRIC,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
532,CONSULTATION LIAISON,,,,12,1,,,1,1,MOPC,,,,,,,,,
533,DATER,Monday /Thursday ,,,12,1,,,1,1,MOPC,5820,,,,,,,,
534,GENERAL ADULT PSYCHIATRIC CLINIC (OPC),"Monday, Tuesday, Thursday and Friday ",,,12,1,,,1,1,MOPC,5820,,,,,,,,
535,NEUROLOGY ,,,,12,1,,,1,1,Neurological Surgery Clinic,5820,,,,,,,,
536,OLD AGE PSYCHIATRIC,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
537,ANTENATAL CLINIC,,,,12,1,,,1,1,Antenatal Clinic,5820,,,,,365,,,
557,GMPC NHIS PATIENT PRIMARY CLINIC,,,1,12,1,,,1,1,GOPC,5820,,,,,,,,
558,ENDOCRINOLOGY CLINIC,,,,13,1,,,1,1,Endocrinology Clinic,5820,,,,,,,,
559,CARDIOLOGY,,,,13,1,,,1,1,Cardiology Clinic,5820,,,,,,,,
560,GYNECOLOGY & OBSTETRICS,,,,13,1,,,1,1,Gynecology Clinic,5820,,,,,,,,
561,GENERAL SURGERY CLINIC,,,,13,1,,,1,1,SOPC,5820,,,,,,,,
562,LAB WALK,,,,8,1,,,1,1,GOPC,,,,,,,,,
582,OCCUPATIONAL THERAPY,,,,12,1,,,1,1,Staff Clinic,5820,,,,,,,,
583,EEG WALK,,,,8,1,,,1,1,GOPC,5820,,,,,,,,
602,ICU CLINIC,,,,13,1,,,1,1,A & E Clinic,5820,,,,,,1,,
622,Walk-in,,,,12,1,,,1,1,Dermatology Clinic,,,,,,,,,
471,CHILD AND ADOLESCENT CLINIC,,,,12,1,,,1,1,MOPC,5820,,,,,,,,
472,NUTRITION CLINIC,,,,12,1,,,1,1,Dietetics Clinic,5820,,,,,,,,
682,NEPHROLOGY,,6674,,12,1,Tuesday,,1,1,Nephrology Clinic,5820,,,,,,,,
643,Endocrinology,,6674,,12,1,,,1,1,Endocrinology Clinic,5820,,,,,,,,
642,PEDIATRICS,,7520,,12,1,MONDAY AND FRIDAY,,1,1,GOPC,5820,,,,,,,,
662,xxxxxxxx,,6674,,12,1,mondays,,1,1,Cardiology Clinic,5820,,,1,,,,,
