ROLE_ID,ROLE_NAME,CREATED_BY,CREATED_DATE,LAST_MODIFIED_BY,LAST_MODIFIED_DATE,MODULE_ID
4,NURSE,,,,,
5,NURSE ADMIN,,,,,
6,DOCTOR,,,,,
7,CONSULTANT,,,,,
8,PHARMACIST,,,,,
9,PHARMACIST ADMIN,,,,,
10,PHARMACY  STORE OFFICER,,,,,
11,PHARMACY STORE ADMIN,,,,,
12,LAB OFFICER,,,,,
13,LAB RECEPTIONIST,,,,,
14,LAB ADMIN,,,,,
15,RADIOLOGIST,,,,,
16,EEG OFFICER,,,,,
17,PSYCHOLOGY,,,,,
18,OCCUPATIONAL THERAPIST,,,,,
19,SOCIAL WORKER,,,,,
20,SPEECH THERAPIST,,,,,
21,REVENUE OFFICER,,,,,
22,HEAD OF ACCOUNT,,,,,
23,REMITAL ,,,,,
24,REMITAL SUPERVISOR,,,,,
25,NHIS OFFICER,,,,,
26,PHYSIOTHERAPIST,,,,,
27,ICT STAFF,,,,,
28,ICT ADMIN,,,,,
29,RADIOLOGIST ADMIN,,,,,
30,AUDIT,,,,,
31,NUTRITIONIST,,,,,
32,GYM INSTRUCTOR,,,,,
33,ADMIN,,,,,
34,HEAD OF GMPC,,,,,
35,NHIS/RETAINERSHIP ACCOUNT OFFICER,,,,,
36,ACCOUNT REPORTING OFFICER,,,,,
37,ACCOUNT CREDIT/NHIS OFFICER,,,,,
38,NHIS/SELF-PAY REPORT OFFICER,,,,,
39,LAB REPORT OFFICER,,,,,
40,REVENUE APPROVING OFFICER,,,,,
41,ACCOUNT GENERAL REPORTING OFFICER,,,,,
42,REVENUE HEAD OFFICER,,,,,
43,NHIS PHARMACY OFFICER,,,,,
44,HEAD OF CHECKER,,,,,
45,APPGLOBAL SUPPORT,,,,,
46,,,,,,
47,CLINICAL CODING AND INDEXING,,,,,
48,RECORD STATISTICAL OFFICER,,,,,
49,ANATOMIST,,,,,
1,CMD Role,,,,,
2,RECORD OFFICER,,,,,
3,RECORD ADMIN,,,,,
52,NUTRITIONIST,,,,,
53,,,,,,
50,Neurologist,,,,,
51,Physiologist,,,,,
54,RESEARCH,,,,,
