WARD_ID,WARD_NAME,DESCRIPTION,GENDER,HOSPITAL_ID,BRANCH_ID,ITEM_ID,DISCONTINUE_FLAG,
505,FEMALE WARD 2 ARO,,Female,1,1,,,
506,MALE WARD 1 ARO,,Male,1,1,,,
507,MALE WARD 2 ARO,,Male,1,1,,,
508,MALE WARD 2 ARO,,Male,1,1,,,
522,MALE WARD 1 LANTORO,,Male,1,1,,1,
523,FEMALE WARD 1 LANTORO,,Female,1,1,,,
524,MALE WARD 2 LANTORO,,Male,1,1,,,
502,DATER 1,,Unisex,1,1,,,
503,DATER 2,,Unisex,1,1,,,
504,FEMALE WARD 1 ARO,,Female,1,1,,,
525,MALE WARD 3 LANTORO,,Male,1,1,,,
526,FAFS WARD LANTORO,,Male,1,1,,,
527,MALE WARD 4 LANTORO,,Male,1,1,,,
528,MALE WARD 5 LANTORO,,Male,1,1,,,
529,MALE REHABILITATION LANTORO,,Male,1,1,,,
530,FEMALE REHABILITATION LANTORO,,Female,1,1,,,
531,FIRM A (FEMALE) LANTORO,,Female,1,1,,,
532,FIRM B (FEMALE) LANTORO,,Female,1,1,,,
533,SOPN,,Unisex,1,1,,,
542,FEMALE/ POST NATAL GMPC WARD,,Unisex,1,1,,,
543,PSYCHOGERIATRIC WARD,,Unisex,1,1,,,
544,CHILD & ADOLESCENT WARD,,Unisex,1,1,,,
545,PRIVATE WARD,,Unisex,1,1,,,
546,ASSESSMENT WARD,,Unisex,1,1,,,
547, OUT PATIENT CLINIC WARD,,Unisex,1,1,,,
562,FBFS WARD ,,Female,1,1,,,
582,MALE WARD GMPC,,Male,1,1,,,
583,MORTUARY ,,Unisex,1,1,,,
603,ICU WARD,,Unisex,1,1,,,
644,MALE WARD 1 LANTORO NEW,,Male,1,1,,,
645,PSYCHOGEATRICS  LANTORO NEW,,Male,1,1,,,
624,MALE WARD 7 LANTORO,,Male,1,1,,,
623,MALE WARD 1 LANTORO,,Male,1,1,,1,
